,Expense.Date,status
1,2018-03-01 0:00,Completed
2,2018-03-02 0:00,Completed
3,2018-03-03 0:00,Completed
4,2018-03-04 0:00,Cancelled
5,2018-03-05 0:00,Completed
6,2018-03-06 0:00,Cancelled
7,2018-03-07 0:00,Cancelled
8,2018-03-08 0:00,Cancelled
9,2018-03-09 0:00,Cancelled
10,2018-03-10 0:00,Completed
11,2018-03-11 0:00,Completed
12,2018-03-12 0:00,Cancelled
13,2018-03-13 0:00,Cancelled
14,2018-03-14 0:00,Completed
15,2018-03-15 0:00,Completed
16,2018-03-16 0:00,Cancelled
17,2018-03-17 0:00,Completed
18,2018-03-18 0:00,Cancelled
19,2018-03-19 0:00,Cancelled
20,2018-03-20 0:00,Completed
21,2018-03-21 0:00,Completed
22,2018-03-22 0:00,Completed
23,2018-03-23 0:00,Cancelled
24,2018-03-24 0:00,Cancelled
25,2018-03-25 0:00,Completed
26,2018-03-26 0:00,Cancelled
27,2018-03-27 0:00,Completed
28,2018-03-28 0:00,Cancelled
29,2018-03-29 0:00,Completed
30,2018-03-30 0:00,Cancelled
31,2018-03-31 0:00,Completed
32,2018-04-01 0:00,Cancelled
33,2018-04-02 0:00,Completed
34,2018-04-03 0:00,Cancelled
35,2018-04-04 0:00,Cancelled
36,2018-04-05 0:00,Completed
37,2018-04-06 0:00,Completed
38,2018-04-07 0:00,Cancelled
39,2018-04-08 0:00,Completed
40,2018-04-09 0:00,Completed
41,2018-04-10 0:00,Cancelled
42,2018-04-11 0:00,Cancelled
43,2018-04-12 0:00,Completed
44,2018-04-13 0:00,Cancelled
45,2018-04-14 0:00,Completed
